,author,stars,date,text
1,Ritchelle M.,"I love this place you must try it! They have the best sushi in town nice customer service  I always get the lion king roll it's my favorite and if you check in you'll get a free soup or soda
",2019-09-26,5.0
2,Hye Ryung J.,"Don't go to this restaurant. The asian waitress there is totally rude and ignorant to customers. I saw one customer next to me who ordered takeout and he was asking her if the food is already done. The waitress's voice is really low that nobody can HELL understand. The customer obviously didn't hear what she was saying and suddenly she looks at him with a poor reaction and answered him annoyingly. She doesn't attend other customers properly as well. I mean with that behavior she should be fired, in my opinion.

Moreover the price is quite expensive compared to it's taste. The food that I ordered wasn't that bad, but still isn't worth it.

Anyway the service was really horrible that I didn't even give them a tip.
",2019-09-17,1.0
3,Kailyn T.,"This review will be quick and snappy. 

We came to DJ Sushi trying to decide between a higher rated place further away, or to go with the closer, three star place that was DJ. It shows that sometimes it pays to try 'em out for yourself. 

Definitely a-okay, and gets extra points because that roll with the mango in it was a sweet surprise that I find rarer to find and for the top notch service even as we came in towards the closing hours of the night. 

If you are already in the neighborhood, it's a good pick and does the trick.
",2019-07-27,3.0
4,Sarah S.,"Good ambiance! We came here for a friend's birthday and enjoyed a private indoor upper level that could fit up to 15 people. Our birthday boy loved it! Thanks for having us!
",2019-09-20,5.0
5,Yvonne M.,"Hella good.  My entire family raved about how delicious the food was. My daughter especially loved the salmon sushi.
",2019-09-04,5.0
6,Quincy H.,"I LOVE THEIR FOOD!! I came in specifically for the hot sake ( wanted to try some while I was in the area) when I came in I was seated immediately right next to the big TV.  I ordered the sake first and explained I'll be ""checking in"" for the free edamame. After they came out she explained I should order more because if I don't they'll charge me for the edamame. I felt pressured so I ordered the hamachi Shashimi. It was good. Over all decent meal. Wasn't particularly impressed but I'm feeling full. While drinking she was nice enough to make sure I was drinking water. Excellent
",2019-08-11,4.0
7,Lulu Y.,"It's a creative sushi / Japanese comfort food place in north beach , San Francisco. I once ordered omakase with a bottle of Sakura sake. I think all was well but they needed to take care of their hygiene
",2019-07-12,4.0
8,George B.,"I really had a good time with a bunch of friends coming here. The food was good, the servers were nice and the beer was cold. The parking is hard but what do you except in Sf. I also was surprised why people was rating it 1 or 2 stars. I guess a lot of people that come out to dine want the world handed to them for 35 bucks. Also even if you breath wrong people will put one star. My point is that you have to try places out your self and not rely on yelp users. If you don't have the $ better not go out to dine and rating low because you think it is expensive. I had a great time and will come again.
",2019-09-12,5.0
9,Reginice C.,"We ordered a teriyaki salmon bento box, Sunomono Cucumber, and Lion King Roll from DJ Sushi.

My friend said the Lion King Roll was really good, so that's why this is a 2-Star rating instead of 1-Star. She said her Sunomono was really bad and tasted weird.

The piece of salmon in my bento box was slightly bigger than the soy sauce packet see photo for reference.

We are currently sitting in the hotel hungry and planning to go out to get food.
",2018-07-21,2.0
10,Steff D.,"I was craving sushi after an extremely long flight from the East Coast, but due to delays I didn't get into SF until close to 11p. There weren't that many places open for delivery so late, so I was delighted that DJ Sushi could accommodate me!

Unfortunately, I wasn't excited by what I got: the edamame was a bit hard and had no salt. The wakame salad was a bit slimy. The miso soup was cold. The hand rolls (I got the cucumber, avocado, and avocado with cream cheese) were just three bites of mostly rice. 

I don't know if this was because it was one of their last orders of the night or if this is how it normally is, but I can't say I'd order from here again (though, again, I'm super duper appreciative that they could take care of my post travel late night dinner needs!).
",2018-06-21,2.0
11,Baba E.,"Excellent Bento Box!!
The skewered chicken was excellent and the tempura, rice & salad was perfect!
",2019-05-12,5.0
12,Alexandra H.,"It's a bit inconsistent. Sometimes my sushi, the same dish, will be amazing and sometimes it's not very good. My favorite is Lion King roll, many of the other rolls are just ok.
",2019-07-12,3.0
13,Mike L.,"Delicious food, quick service, great place, Highly reccomended. My favorite was the crab rolls but the tempura was great too. I will definitely eat there again. 5 stars!!!
",2019-08-24,5.0
14,Catherine A.,"A great place to go late at night when everything else is closed. We had a miso soup which was great, especially on cold days. Then got a lion king and dragon roll which are beautifully made and tasted great!
",2019-04-28,5.0
15,Xennia E.,"Literally so delicious (4 seasons on left, dragon on right) tastes amazing & fresh! The avocado is also perfect! Don't see why this place has 4 stars ):
",2019-07-29,5.0
16,Glenmorangie S.,"Party of 8,came here last night,ordered a lots of sushi rolls like spider roll,cherry blossom,tuna salmon chef's choice 24 pieces sashimi everything,they are fresh and tasty,especially the yellow tail hamachi,the sashimi is fresh as hell,reminds me of Kyoto,also Jenny is super friendly and helpful,thanks a lot Jenny!
",2019-04-17,5.0
17,Vladimir S.,"I was there last week and It was flawless. The waiter was amiable, my friend thought meaning maki is roll, but she explained what is maki and what is rolls. By the way the maki was delicious. You will enjoy been there.
",2019-09-11,4.0
18,Hayley D.,"Met my boyfriend here for lunch since it's about half way between our offices. He had been before and said it was pretty good ramen.

Ambiance: I am guessing they call it DJ because they were playing EDM style music the whole time- kind of cool. The inside is pretty small, only about 6 tables or so.

Service: Really great service here. Our server was really nice and helped me find a vegetarian ramen to have. She checked in on us a lot and was quick to bring us what we needed.

Food: I got the tempura ramen with vegetarian broth. It was just OK. The noodles were all stuck together in one big clump, and the flavor was pretty bland but it wasn't horrible. My boyfriend got the ramen with meat in it and also said his was very bland. I loved the mushrooms in mine! I've never seen that type of mushroom before.

Would be willing to try the sushi here, but I like other ramen spots downtown more.
",2018-01-12,3.0
19,Kristina P.,"This place has the best ramen! They're not afraid to make it spicy, they soft boil the egg perfectly, the noodles aren't over cooked and the broth is delicious.
The service is always fast and friendly. 
I give 4/5 only because it's not anything fancy and the ambience is modest. I find it cozy and perfect for a bite to eat with friends, but not for a date.
",2018-12-03,4.0
20,Stanley O.,"Came here because we had a craving for ramen and some sushi.
  This place is small BUT food was good at a reasonable price.
",2018-08-31,5.0
0,Emily S.,"I ordered through eat24 and my order was suppose to be delivered to me by 8:30... My order did not come until 9:10 and I ordered my dinner at 7:45... I even called the restaurant at 8:45 and the lady said oh we just sent the delivery guy out he should be there in 10 min which became 20min later... My order consisted of 2 bowls of ramen, one for me and one for a friend, 2 order of sushi rolls and seaweed salad. Seaweed salad was ok, but the rolls... $4 for one roll each and it was those hand rolls I one seaweed... Not a long one cut into pieces... They weren't that big either... What a rip off... Next up, the ramen... Ok ramen is better fresh and not delivered ok, but the soup didn't even have flavor and I asked for spicy on both and it wasn't even spicy. The noddles tasted like instant noodles and the texture felt like that too. It was all clumped up together even when I poured my soup in it... Bad delivery and estimated time and no flavor in the soup and what a rip off on the sushi
",2016-03-11,2.0
21,Fabian F.,"So ordered for the first time. Right on time delivery. My bro housemate way passed out on the stoop. Delivery guy helped me carry a 6'5, 250lbs to his bedroom. Without question, and concerned. 
This is why I love SF. 
The food was awesome too.
",2018-09-30,5.0
22,Dan O.,"1hour and 50minutes for delivery.

It was practically time for the next meal by the time this one came.

We have been disappointed multiple times by the absolutely terrible delivery service from these guys.  Maybe its ok in their restaurant... but whatever you do, don't use them for delivery.  (they should just terminate doing deliveries... that is how bad they are.)
",2018-09-11,1.0
