,author,stars,date,text
1,Amit M.,"Clubfactory customer care number 8101421875
Clubfactory helpline toll free number 8101421875
Clubfactory contact number 8101421875
Clubfactory customer service number 8101421875
",2019-10-02,5.0
2,Eric M.,"Fog harbor fish house, what can I say about this 5 star seafood gem on Pier 39?  I think I can say plenty.  

Fog Harbor is on the second level of Pier 39, I visited this weekend on a touristy trip to San Francisco.  I chose FH due to the Yelp reviews I read prior to traveling to San Francisco.  

Saturday night dining, and here I thought I could make a 7pm reservation around noon and be good.  Haaaaaaaaaa!!!!!!!!!  No way, 430 and 930 pm is what they had available.  I asked the hostess if they still accepted walk ins around 7pm or if it was reservation only, and she said they took walk ins but the wait could be 60-90 minutes.  FH is popular, and for good reason.

Anyway, I digress, I discovered on yelp you can add yourself to the wait list.  Holy smokes!!!  What a brilliant feature.  So, I went to a bar and had a few drinks and added myself to the wait list and figured I'd be good to eat around 630 pm.  I also added that I was a first time diner and to dazzle me.

 I showed up at 624 Pm which is what the app recommended.  I was promptly seated in one of the best seats in the house.  Overlooking the marina, Alcatraz and the Golden Gate Bridge.  And I was able to watch several sea lions frolic on the piers.  The view was Amazing at sunset, I couldn't have been seated in a better location.  

I started out with a seafood tower, $88 price tag.  It had Maine lobster, oysters, mussels, shrimp, ceviche and crab legs.  It was very good, however; I wouldn't recommend it if you're looking for value.  For the price, get another entree.  

For dinner I had the scallop and crab risotto.  It was awesome.  Risotto was cooked to perfection, scallops were cooked to perfection and the dish was delicious.  It was on the specials menu, and it was fantastic.  

They brought out the desert tray and of course I splurged since it was a weekend getaway.  Apple crisp, chocolate cake and crepe brûlée.  All 3 were outstanding.  I must also admit I had several cocktails, the Manhattan is outstanding as is the blood orange margarita.  

Overall, I'm giving FH 5 stars, the location and view coupled with the meal, makes it a home run in my book and a must visit if you're ever in the area.
",2019-10-01,5.0
3,Ana B.,"We went to SF to celebrate my brother in law's birthday, my brother in law is an excellent culinarian, so it was hard for me to find a place that would at least meet his expectations 

His daughter told me that he rarely goes out to eat and when he goes he goes to Fog Harbor Fish House so we went

We were a group of 8 and a small service dog we were seated at a corner by the window on around table 

Unfortunately, I don't recall our server's name but he was Hispanic (maybe spaniel ) he was very knowledgeable and attentive without being pushy 

We all started with a Moscow mule and clam chowder and they both were delicious 
We order at least 3 more rounds of mules 

We also order two towers and they were good and enough for us all 
We asked for grilled chicken breast for our 4 legged son and he rushed the order 

The desserts were the bomb especially the blondie, the bread putting and the apple crisp a la mode and they brought a dessert with a candle to the birthday boy 

My daughter is a vegetarian and our wonderful server was able to make her feel welcome and very special 

I didn't give 5 stars because coffee was up to the rest of the food and the long wait
",2019-10-01,4.0
4,Edward A.,"Nice little spot in the middle of Pier 39 where all the tourists congregate. Make a reservation or be prepared to wait - thankfully we did thru the YELP way in advance! Great location with a couple of sides having a view of the bay. As you might imagine, menu options are heavily on the seafood side but they have burgers and steaks too.......but..... 

I was torn with so many options but decided on the Cioppino. They offer a lazy option where all the seafood is ""shelled"" for you but this is one time I wasn't going to be lazy. Count on getting messy with some random splatters as you enjoy the seafood tomato broth. There's really no other way than to just ""get in there."" Filled with crab, fish, clams, scallops, and mussels the bowl was well worth the $35 price tag.

A rare gem considering the location of being in the middle of tourist central.
",2019-09-27,5.0
5,Natalie C.,"The food was so good that I came here twice during my short stay in SF! 

Both times I order the crab meat salad and they were loaded with crab meat! All the ingredients were really fresh - crisp romaine, unbruised avocado. I dont know what they use in their dressing, but it was GOOD! A perfect balance of tanginess and creaminess. I have to say the flavour wasn't as good the second time I had it, guess that proves it's house made and doesn't come from a bottle. 

We ordered their famous clam chowder in the sourdough bread bowl. The chowder was definitely overhyped, it taste like ones you get at a regular western cuisine restaurant. I definitely expected more from a seafood focus restaurant by the pier.

The lobster tail was well cooked and the meat was mildly sweet. The favourite part of my meal was the pan fried scallop. It had a nice sear on the outside, but the interior was soft and supple.

Their seasonal special, pan fried scallop with crab meat risotto was also very good. Similar to the scallop in the lobster dish, the scallops in the risotto were perfectly cooked! The risotto was cooked al dente. Even though the photo looks like they gave us too much sauce, it was perfect once you start eating and enjoying the dish.

We wanted to try their fish, so we ordered the mixed grilled, which consisted of salmon, cod and shrimp. The salmon was decent, don't have much to comment on the shrimp but the cod was disappointing. It was stiff and flavourless (except for hints of saltiness from the seasoning)

I would say it's worth the splurge to eat at Fog Habour every now and then, but choose your dishes wisely.
",2019-09-26,4.0
6,Phung D.,"I've always wanted to try somewhere new and stumbled on this one. When I arrived to the place, I had a feeling this would be a tourist trap. It turns out it was.

It's right smack where Pier 39 is and located upstair. It gets tad crowded on the weekend. They have Yelp waitlist but if you have 9 people like we did, had to come in person and get on the list. Luckily it took us only 15 minutes. 

The price is a bit steep but it's SF & at a tourist spot. We ordered couple appetizers to share such as oysters and calamari. I thought both were okay. Don't do oysters here. It's tinyyyyy! As for calamari, I felt like it was mostly batters, and not much squid. 

I also had clam chowder from a bread bowl. The chowder was okay. It's best to get a regular bowl because they give you the same bread for starter anyways.

As for the main course, I shared this seafood pasta. I think this was the best they have to offer. But still not good enough for me to come back or bring any of my guests back. They give a lot of seafood with this dish though! Overall, all the food was meh & not worth spending money on.
",2019-09-14,3.0
7,Bev C.,"So far everything is very good.  I love Scomas's but decided to give this a try!  Had the crab cake appetizer comes with a little bit of greens and mango could be a little fatter on the cakes but good.  

Our Waitress Gia is so nice didn't rush us to decide and was honest when given what I asked she gave it to me honestly and I appreciate that, otherwise might not like my dinner and nobodies happy so far excellent their clam chowder has won us over. Ok just got our entrees and they're beautiful!! Steak is perfect 

Gotta go foods getting cold lol!!

Just finished everything was really extremely good!  Coming back to celebrate my Birthday and my sons too!! 

Trust me peoples for me to rave about somewhere other than Scomas is amazing, but this restaurant was great I gave it four because they don't offer  scallops I love me some deep fried scallops with a little pasta and veggies. Also steak fries would be a better choice.  But still coming back with about 12 of us
",2019-09-29,4.0
8,Cindy P.,"We went to dinner at the Fog House last night and it was wonderful. Food was delicious and service was outstanding. It's located on Pier 39; you will need to walk up a flight of stairs. 

We were seated at a table next to the window and the view was beautiful. We made reservations; I'm not sure if this helped with getting table with a view or not. 

I ordered a cocktail, an Alcatraz Escape and it was comparable to a Mai Tai. It was very tasty. We started with crab cakes as an appetizer and they were delicious. My husband and I both ordered lobster tails. Oh my! These babies were huge! Again, scrumptious. We ended with tiramisu. When my husband suggested it for dessert, I was hesitant since we weren't at an Italian restaurant. No worries, it was wonderful just like the rest of the meal. 

Our waitress was very friendly and attentive. She provided her personal favorites from the menu. 

This restaurant was on the expensive side but we totally enjoyed our dinner. We also ordered the most expensive item on the menu (lobster tails $51) so you could get by with something not as expensive and I bet it would be equally delicious. My only negative comment is that it was a little loud. Highly recommend checking this restaurant out if you're in San Francisco.
",2019-09-11,5.0
9,Shelley V.,"We were staying in a hotel close to Fisherman's Wharf and Pier 39. The concierge at our hotel gave us a coupon for Fog Harbor. We were doing a tour of Alcatraz that afternoon and decided we would eat at Fog Harbor that night. I added us to the wait list on yelp. It was a holiday weekend and the wait was over an hour.  

It's a large restaurant over looking the water. The tables are pretty close together but the view made up for it. They offered us regular menus, a seasonal menu, and a kids menu for our son. 

We decided to order the crab ceviche appetizer. It was good because it was different. It wasn't your typical citrusy and acidic ceviche. It was prepared with coconut milk so it was creamy. It was very flavorful and fresh. 

For our entrees, we split the cioppino and the mixed grill plate. The cioppino was very good. Spicy broth and lots of fresh seafood. The mixed grill had shrimp skewers, salmon, and cod. It had really good flavor and was fresh. It was served with mashed potatoes and green beans. 

For dessert, we ordered the apple walnut one. It was crunchy on top with oatmeal and had a scoop of ice cream on top. 

The service was incredible, the food was amazing, and the view was beautiful. Definitely check it out if you're looking for a nice dinner on the pier.
",2019-09-07,5.0
10,Abby S.,"Go for the ambiance and the fact that they utilize the Yelp waitlist. Stay for a cocktail and a tasty bread bowl.

Fisherman's Wharf is full of tourist traps - the good news is that Fog Harbor isn't one of 'em. Legit seafood, water views, linen tablecloths, etc. And they have ""world famous"" chowder. 

I dined with a group and most everyone didn't order the expected Cippino, chowder or, Crab Louie salad. So of course I had to! Dungenesd crab cocktail and a Caesar/bread bowl combo. Sometimes appetizers are the way to go. Though I wouldn't say the chowder was famous, it was good! Creamy and full of tasty fishy bits.

If you're stopping in for a drink and a bite, I'd recommend the Lemondrop martini, as it feels very SF and goes well with seafood.
",2019-09-05,4.0
