,author,text,date,stars
1,Michael N.,"A big thank you to Mona Lisa in North Beach for the delicious food, we ate it in their car out in front. It was so romantic and a lot of people were walking by taking pictures. We sang some songs to them while we ate. It was so much fun.

The owner Maurizio is a really sweet guy, he's been so kind to us since we started going there 3 years ago. We had never dined in the car, but he convinced us and we didn't regret it! We got a pizza, a pasta and a salad. Just the right balance. And Maurizio was teaching us some Italian while we were in the car. So fun!!!

It's definitely something every San Franciscan or tourist should do at least once is their life! You won't regret it!!!

Sincerely,
@michaelniktaris
CEO @aquarius3e LLC
",2019-09-12,5.0
2,Meredith P.,"Mona Lisa is a very fun/lively restaurant with really good food! The menu is vast and ranges from pasta and pizza to seafood that looked (and smelled) amazing. 

We had feasted at lunch, so unfortunately we were not starving when we got to dinner, but we ordered bruschetta and a salad to start with and both were delicious and a large helping. The bruschetta was nice and crispy and full of flavor. We got a salad with the italian dressing and while it was good, there was just a tad too much dressing on the salad for our liking. 

I ordered the penne arrabbiata and it was huge and delicious. My husband ordered the Mona Lisa pizza and it was loaded with the toppings and the crust was good. The table behind us got a huge bowl of what looked like mussels and they looked amazing - next trip, definitely will come back for these. 

The service was good/hand's off which was nice - they didn't seem to be rushing us out the door even though there was a wait to get in. Will be back next trip to SF and recommend for a good, relatively priced meal in North Beach.
",2019-09-10,4.0
3,scott h.,"A solid four stars. 

The fried calamari was excellent. it was perfectly seasoned, and ultra tender. And it was obviously it's very fresh.

Margherita pizza met expectations, but nothing special.

I dined outside on the sidewalk. The weather is nice, this is the only way to go. 

At times I got the feeling the staff was more interested in collecting customers off the sidewalk than attending to the ones they had.
",2019-09-01,4.0
4,Julie K.,"Mona Lisa's pasta is amazing! There's a wide range of items on the menu and I got the spaghetti carbonara and it was delicious 
pros: 
-pasta is very fresh
-sauce isn't too greasy or too thick but just the right amount of seasoning 
-i can tell the pasta is really good quality and the chefs took a lot of time to craft each dish 
-it tasted like authentic italian food and is worth coming again
cons: 
-we had a reservation but had to wait an additional 30 minutes 
-the pasta took about an hour to come out
-the pasta was delicious but the long wait made me take off a star
",2019-08-25,4.0
5,Lilly K.,"STOP READING RIGHT NOW AND JUST GO! 

But if you must read let me tell you, this place is hands down A-MAZING. I used to work in North Beach and would often pass Mona Lisa on my commute, they typically have this adorable little Fiat parked out front. (How can you miss it when you're on Columbus Ave!) 

Fast forward to this weekend, it was my boyfriend's birthday and he's new to San Francisco. I wanted to do something extra special for him and the first thing that popped into my head was the little car outside of Mona Lisa! I called the restaurant and set up a reservation for 8pm. 

THIS is where the impeccable service started. From the owner Mauricio seating us in the little car, setting up the table and taking our pictures, to our server going above and beyond to make sure we had an incredible experience. 

For this dinner we ordered: 

Family Style Antipasti - A gorgeous display of bruschetta, meats, cheeses, and olives, SO GOOD.
Bottle of Cabernet Sauvignon Kith and Kin - Excellent choice with pasta
Spinach ravioli with a bolognese sauce - DELICIOUS. The sauce is so rich and flavored so well.
Linguine with clams - My boyfriend said it was amazing.

Topped off with a birthday Tiramisu that was to die for! 

Seriously, if you made it this far without closing the Yelp page and heading straight to the restaurant, then you really didn't want pasta that bad.
",2019-08-28,5.0
6,Carly C.,"Food was amazing and came in very large portions. The seafood pasta was loaded with shrimp, mussels, clams and calamari and of course extra parmesan ;) The calamari in the pasta was slightly undercooked, but overall the dish was great. Atmosphere is fun and great for a weekend dinner spot! They have murals on the ceiling, lots of pictures and sculptures throughout the inside. 

FYI this restaurant does not honor reservations for some reason. We booked our reservation on Yelp for 8:15 pm, but when we arrived we were added to the same list that walk-in customers were added to. We ended up waiting 40 minutes to be seated, which was quite unfortunate because it was our anniversary dinner! 

On a whole, great food and restaurant, but don't expect timely seating/service.
",2019-09-29,4.0
7,Charles B.,"MUST HAVE bruschetta and their coffee!! This is my second time there and every time I go I am blown away by the freshness and quality of their food! It's warm and inviting, and the owner is there commanding everything from the floor, which lets me know he takes extreme pride in his restaurant!
Will definitely go back!
",2019-09-08,5.0
8,Laneisha T.,"Came to Mona Lisa this past weekend for my 30th birthday (June 2019). This happened to be the weekend of the north beach festival so the restaurant was pretty busy all day, we walked by earlier in the day seemed like a steady flow of people. We had a reservation and we were seated pretty quickly. We were seated by the kitchen and were able to watch the chefs in action as they prepared different orders it was awesome!! 

We ordered some Bruschetta which I thought was verryyy tasty some in my group (party of 5) thought it was too much tomato but I think that's just personal preference! To me it was perfect and had a wonderful flavor!! I also ordered the calamari which was cooked very nicely not chewy and was light and crisp and the marina to go with it! YUM! I almost ate the whole order by myself! For dinner I got the Aldon Smith pasta which I thought was rather tasty! So good! My bf got the pizza and my other guests got chicken dishes and lasagna and everyone really enjoyed their food!! It was sooo good! My only regret is we were too full for dessert so I'll definitely be back!!!
",2019-06-17,4.0
9,Rohit K.,"One word: roaches. 
We had just finished the bread and a roach appeared just as our food was being served. We requested to move to another table. To our disappointment, we found a roach on that table too! What was worse was that it was climbing all over an open olive oil bottle. Despite this, instead of apologizing, the manager actually told us "" not to create too much of a scene"" or "" I'll seat you outside"".
After this, getting to the food was the last thing on our mind.
Strongly recommend an avoid on this one.
",2019-08-10,1.0
10,Alice L.,"The owner here has a lot of spunk. He even has a large B&W portrait of himself when he was younger. You can play ""ispy"" for it amongst all his other photos while you wait for a table. 

I made reservations for dinner on the day of. I was seated about 10 minutes after my reservation time, so not too bad. 

They serve complementary bread before the meal. It was cold bread, but hey it's free, right? The servers here may take some time to get to you, but I went during peak hour. 

Cioppino-- So effing delicious! The tomato sauce had so much flavor in it, especially shellfish. The bread is amazing for mopping up this sauce. This dish will set you back like $50, but it's meant to be shared.

Ravioli-- My boyfriend didn't really like this. 

Squid ink risotto-- This dish was very one-dimensional. Would not recommend. 

Pasta with white wine and shellfish-- Seafood was very fresh on this dish, however the pasta was under-salted. There were sun-dried tomatoes on this dish (I believe) and they were loaded with salt. It's like you sometimes get a bite of bland or a bite of salty. 

Bottom line-- Just go with the cioppino.
",2019-08-16,4.0
